model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,0,32,1,0,resnet152,17,46,1,0,vgg19,0,22,1,0,bert,0,12,1,8,17561.5,18273.591836734693,2553.5273556106126
resnet101,12,35,1,0,resnet152,0,29,1,0,vgg19,0,22,1,0,bert,6,12,1,8,17006.5,16363.918367346938,2100.9608670236294
resnet101,0,1,1,0,resnet152,25,52,1,0,vgg19,3,22,1,0,bert,4,12,1,16,13540.5,13838.581632653062,1051.025834392571
resnet101,0,25,1,0,resnet152,0,52,1,0,vgg19,12,22,1,0,bert,1,12,1,32,25418.5,25513.897959183672,340.3915959116259
resnet101,9,35,1,0,resnet152,7,52,1,0,vgg19,0,22,1,0,bert,10,12,1,8,22203.0,22436.54081632653,1220.3824439734117
resnet101,4,35,1,0,resnet152,48,52,1,0,vgg19,0,3,1,0,bert,0,12,1,32,19375.5,18379.673469387755,2312.3774177130313
resnet101,0,35,1,0,resnet152,47,52,1,0,vgg19,0,22,1,0,bert,0,12,1,8,17074.5,17472.102040816328,1303.6725322029015
resnet101,5,35,1,0,resnet152,28,52,1,0,vgg19,0,22,1,0,bert,0,12,1,16,15196.5,16562.316326530614,2758.358568383426
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,19,1,0,bert,7,12,1,16,25012.5,25111.01020408163,425.2421277846487
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,5,12,1,32,25105.5,26443.020408163266,2686.315069504084
resnet101,0,35,1,0,resnet152,0,2,1,0,vgg19,0,22,1,0,bert,10,12,1,64,17154.5,18254.84693877551,1905.206723756173
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,10,22,1,0,bert,2,12,1,16,25222.0,26609.73469387755,2518.753139668962
resnet101,0,35,1,0,resnet152,41,52,1,0,vgg19,0,22,1,0,bert,0,12,1,32,17174.5,18643.65306122449,2568.1259708360226
resnet101,13,35,1,0,resnet152,0,52,1,0,vgg19,6,22,1,0,bert,11,12,1,8,24876.5,26477.908163265307,2736.0966651333374
resnet101,0,2,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,0,1,8,24598.5,24642.48979591837,301.0417370513549
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,4,5,1,0,bert,0,12,1,64,25032.5,25108.081632653062,268.1465740464432
resnet101,0,4,1,0,resnet152,0,1,1,0,vgg19,0,22,1,0,bert,0,10,1,8,10270.0,10258.42857142857,330.2095191399125
resnet101,27,35,1,0,resnet152,0,52,1,0,vgg19,21,22,1,0,bert,0,12,1,32,25022.0,26534.30612244898,2977.8780090697624
resnet101,30,35,1,0,resnet152,0,52,1,0,vgg19,20,21,1,0,bert,0,12,1,16,24776.5,25031.877551020407,1203.0879424427565
resnet101,20,35,1,0,resnet152,0,27,1,0,vgg19,20,21,1,0,bert,4,12,1,32,15930.5,15408.84693877551,2009.1085968964649
resnet101,0,1,1,0,resnet152,0,52,1,0,vgg19,4,11,1,0,bert,0,0,1,64,24500.0,24518.65306122449,313.6285370072736
resnet101,16,35,1,0,resnet152,0,10,1,0,vgg19,0,10,1,0,bert,0,12,1,64,12018.5,12126.724489795919,513.6232793339095
resnet101,0,35,1,0,resnet152,27,52,1,0,vgg19,0,22,1,0,bert,0,12,1,8,16890.5,16928.214285714286,204.9883147490936
resnet101,0,35,1,0,resnet152,39,52,1,0,vgg19,11,22,1,0,bert,0,9,1,32,16805.0,16826.632653061224,158.28947827880916
resnet101,19,33,1,0,resnet152,0,29,1,0,vgg19,1,17,1,0,bert,7,12,1,32,18279.0,17836.571428571428,1166.370806023049
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,20,22,1,0,bert,0,11,1,8,25082.0,26786.5,3060.7766529735154
resnet101,31,33,1,0,resnet152,27,34,1,0,vgg19,0,22,1,0,bert,0,12,1,16,11788.0,11869.438775510203,348.4704205620097
resnet101,19,35,1,0,resnet152,40,47,1,0,vgg19,9,15,1,0,bert,0,12,1,64,12081.0,12414.020408163266,1116.6942466046082
resnet101,12,35,1,0,resnet152,8,52,1,0,vgg19,0,22,1,0,bert,3,12,1,16,21761.5,21786.673469387755,212.8773612406441
resnet101,0,3,1,0,resnet152,0,36,1,0,vgg19,0,13,1,0,bert,0,12,1,32,18093.5,19763.683673469386,2531.580516227285
resnet101,0,35,1,0,resnet152,0,37,1,0,vgg19,12,22,1,0,bert,0,12,1,64,18274.0,19311.95918367347,1679.2989664565955
resnet101,0,8,1,0,resnet152,0,32,1,0,vgg19,0,1,1,0,bert,0,12,1,64,15859.5,16418.571428571428,1574.1556013122902
resnet101,0,0,1,0,resnet152,0,52,1,0,vgg19,0,21,1,0,bert,5,12,1,16,24815.5,25815.64285714286,2523.7650293696893
resnet101,12,23,1,0,resnet152,15,52,1,0,vgg19,0,22,1,0,bert,0,7,1,8,18118.0,18634.316326530614,1479.5914466220456
resnet101,0,26,1,0,resnet152,13,36,1,0,vgg19,0,22,1,0,bert,0,12,1,8,15395.5,14934.92857142857,1632.942206570704
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,2,12,1,8,25084.0,25219.173469387755,546.2727887276557
resnet101,6,35,1,0,resnet152,33,52,1,0,vgg19,0,19,1,0,bert,2,12,1,8,14663.0,15388.581632653062,1249.7974523527955
resnet101,0,12,1,0,resnet152,0,52,1,0,vgg19,0,6,1,0,bert,0,12,1,32,25947.0,27176.102040816328,2630.1248224037595
resnet101,22,35,1,0,resnet152,15,52,1,0,vgg19,16,22,1,0,bert,0,8,1,64,18071.5,18552.255102040817,1443.1445209653593
resnet101,0,7,1,0,resnet152,10,52,1,0,vgg19,0,11,1,0,bert,0,12,1,16,20412.0,20548.071428571428,522.1538644530607
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,9,22,1,0,bert,0,12,1,32,25055.0,25222.448979591838,586.0664990207758
resnet101,0,35,1,0,resnet152,44,52,1,0,vgg19,21,22,1,0,bert,8,12,1,16,17141.0,18386.071428571428,2216.597195602083
resnet101,0,35,1,0,resnet152,0,13,1,0,vgg19,0,22,1,0,bert,0,12,1,64,16958.5,17249.275510204083,920.2911781960946
resnet101,0,34,1,0,resnet152,0,52,1,0,vgg19,0,0,1,0,bert,0,12,1,32,25031.5,25237.122448979593,1027.9101174208004
resnet101,0,12,1,0,resnet152,36,52,1,0,vgg19,0,13,1,0,bert,5,12,1,16,9216.5,9056.551020408164,1282.3329435092755
resnet101,0,24,1,0,resnet152,0,52,1,0,vgg19,3,22,1,0,bert,0,1,1,32,25052.0,27004.214285714286,3118.1368791216933
resnet101,8,17,1,0,resnet152,10,11,1,0,vgg19,3,22,1,0,bert,0,4,1,32,7564.0,7183.081632653061,1077.5480260471693
resnet101,29,34,1,0,resnet152,28,48,1,0,vgg19,0,22,1,0,bert,9,12,1,32,12293.0,12016.285714285714,1934.8997706467844
resnet101,34,35,1,0,resnet152,0,52,1,0,vgg19,5,22,1,0,bert,9,12,1,16,24522.5,24577.98979591837,368.37205279938354
resnet101,0,10,1,0,resnet152,0,52,1,0,vgg19,0,21,1,0,bert,0,0,1,64,24946.5,25537.744897959183,1523.6351959813585
resnet101,0,19,1,0,resnet152,0,5,1,0,vgg19,0,22,1,0,bert,3,10,2,32,11221.0,10635.173469387755,1263.4247999031886
resnet101,16,35,1,0,resnet152,0,52,1,0,vgg19,9,22,1,0,bert,0,0,2,64,25100.0,26538.591836734693,2900.9897284946255
resnet101,0,35,1,0,resnet152,43,52,1,0,vgg19,0,22,1,0,bert,0,12,2,8,17322.5,18320.275510204083,1618.2896979660677
resnet101,0,35,1,0,resnet152,0,13,1,0,vgg19,0,0,1,0,bert,0,2,2,32,17028.0,17531.14285714286,1465.9502942822185
resnet101,0,10,1,0,resnet152,0,8,1,0,vgg19,0,22,1,0,bert,0,8,2,8,8325.5,8363.234693877552,166.5336762548257
resnet101,0,35,1,0,resnet152,40,52,1,0,vgg19,6,7,1,0,bert,5,11,2,16,16868.5,16898.88775510204,194.07377529750315
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,13,22,1,0,bert,0,1,2,64,25215.5,26594.79591836735,2618.1500360773657
resnet101,29,34,1,0,resnet152,44,52,1,0,vgg19,0,21,1,0,bert,0,12,2,32,11952.5,12077.530612244898,642.0913566521357
resnet101,23,24,1,0,resnet152,44,52,1,0,vgg19,0,22,1,0,bert,0,4,2,64,5008.5,5099.051020408163,499.6495378384974
resnet101,0,9,1,0,resnet152,43,52,1,0,vgg19,6,15,1,0,bert,8,9,2,16,5519.0,5574.102040816327,478.3606249963049
resnet101,31,35,1,0,resnet152,11,52,1,0,vgg19,0,22,1,0,bert,0,12,2,32,20039.5,20768.23469387755,1798.3292234569265
resnet101,0,30,1,0,resnet152,0,52,1,0,vgg19,3,5,1,0,bert,0,12,2,64,25243.5,25386.632653061224,1032.2871613187745
resnet101,0,35,1,0,resnet152,0,13,1,0,vgg19,5,22,1,0,bert,10,11,2,8,16924.5,17973.98979591837,1733.5935044500445
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,13,22,1,0,bert,0,12,2,64,25126.0,26995.775510204083,2977.794227244121
resnet101,0,35,1,0,resnet152,0,30,1,0,vgg19,16,16,1,0,bert,0,3,2,16,17980.0,18995.102040816328,2261.8091435469464
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,10,12,2,64,25431.5,27070.15306122449,3013.161362247234
resnet101,1,35,1,0,resnet152,45,52,1,0,vgg19,0,22,1,0,bert,4,12,2,32,16829.5,17660.428571428572,1686.917095092194
resnet101,0,30,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,1,2,8,25021.5,25485.19387755102,1589.8221929727356
resnet101,0,35,1,0,resnet152,0,30,1,0,vgg19,0,22,1,0,bert,0,12,2,16,18973.5,19041.15306122449,2121.0087624641756
resnet101,8,29,1,0,resnet152,0,9,1,0,vgg19,5,22,1,0,bert,0,12,2,16,12794.5,13075.84693877551,1259.8868782394777
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,12,2,16,25505.5,26473.030612244896,2108.9899625954117
resnet101,11,35,1,0,resnet152,0,6,1,0,vgg19,17,19,1,0,bert,0,9,2,16,11913.0,12819.704081632653,1886.1832436852073
resnet101,24,35,1,0,resnet152,0,23,1,0,vgg19,0,22,1,0,bert,9,12,2,16,13395.5,12919.081632653062,1714.130723192736
resnet101,0,26,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,12,2,32,25254.5,25656.26530612245,1574.5044542812311
resnet101,0,35,1,0,resnet152,0,25,1,0,vgg19,0,9,1,0,bert,0,2,2,8,17155.0,18195.744897959183,1641.2257385012176
resnet101,16,35,1,0,resnet152,45,46,1,0,vgg19,4,22,1,0,bert,0,1,2,16,9428.0,9804.80612244898,860.9929443187077
resnet101,0,10,1,0,resnet152,0,35,1,0,vgg19,4,22,1,0,bert,0,12,2,16,17275.0,18118.428571428572,1535.102103896596
resnet101,0,2,1,0,resnet152,0,52,1,0,vgg19,9,22,1,0,bert,0,12,2,32,25077.0,25066.80612244898,469.0612130577081
resnet101,0,35,1,0,resnet152,5,48,1,0,vgg19,0,22,1,0,bert,7,12,2,16,21148.5,21398.214285714286,1203.8944140596723
resnet101,20,30,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,12,2,64,24923.5,24955.316326530614,315.08611057992255
resnet101,20,35,1,0,resnet152,32,52,1,0,vgg19,0,22,1,0,bert,6,12,2,8,9809.0,9819.775510204081,101.31739687957828
resnet101,34,35,1,0,resnet152,0,52,1,0,vgg19,3,22,1,0,bert,0,12,2,64,24563.0,24647.948979591838,524.5524695540812
resnet101,0,32,1,0,resnet152,40,52,1,0,vgg19,0,2,1,0,bert,10,11,2,16,15933.0,16310.102040816326,1055.1245548855195
resnet101,0,8,1,0,resnet152,0,52,1,0,vgg19,16,17,1,0,bert,1,2,2,32,24747.0,26441.132653061224,3107.17368667055
resnet101,0,35,1,0,resnet152,21,40,1,0,vgg19,1,22,1,0,bert,11,12,2,16,16808.5,17371.908163265307,1426.5932738931003
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,12,2,32,25227.0,27234.397959183672,3481.6674715493464
resnet101,0,34,1,0,resnet152,0,22,1,0,vgg19,0,22,1,0,bert,0,12,2,32,17601.0,18863.29591836735,2128.7766929273457
resnet101,0,35,1,0,resnet152,26,52,1,0,vgg19,16,16,1,0,bert,9,12,2,32,17325.0,17799.80612244898,1234.7054069709634
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,12,2,8,25188.0,25446.45918367347,1117.820064819745
resnet101,32,34,1,0,resnet152,0,52,1,0,vgg19,10,13,1,0,bert,0,12,2,16,24927.0,24980.632653061224,284.6905368833331
resnet101,13,35,1,0,resnet152,27,52,1,0,vgg19,21,22,1,0,bert,0,12,2,64,13281.0,13961.714285714286,1842.1029464462952
resnet101,0,5,1,0,resnet152,0,20,1,0,vgg19,0,22,1,0,bert,0,12,2,64,11987.5,12157.234693877552,696.3918495962528
resnet101,0,22,1,0,resnet152,0,52,1,0,vgg19,0,20,1,0,bert,0,0,2,64,24675.0,24778.84693877551,471.03789769195583
resnet101,11,32,1,0,resnet152,0,10,1,0,vgg19,3,22,1,0,bert,0,3,2,8,12762.0,12046.785714285714,1111.0146791770749
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,6,1,0,bert,0,12,2,64,25247.5,26509.69387755102,2567.821908791308
resnet101,12,20,1,0,resnet152,0,7,1,0,vgg19,10,22,1,0,bert,2,12,2,64,10184.0,10353.42857142857,803.4166073077898
resnet101,16,32,1,0,resnet152,4,52,1,0,vgg19,20,22,1,0,bert,0,4,2,64,23621.0,24249.448979591838,2040.0054027662
resnet101,22,35,1,0,resnet152,6,52,1,0,vgg19,12,22,1,0,bert,0,1,2,32,22226.5,22707.755102040817,1665.1068793374275
resnet101,0,35,1,0,resnet152,0,19,1,0,vgg19,0,8,1,0,bert,0,3,2,8,20598.5,19990.377551020407,2009.0510934843685
resnet101,12,31,1,0,resnet152,0,52,1,0,vgg19,6,22,1,0,bert,0,4,2,32,24983.5,25888.367346938776,2376.115962897825
resnet101,0,9,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,1,12,4,16,24814.5,24936.34693877551,493.49834278076713
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,15,1,0,bert,0,12,4,64,25056.0,25164.88775510204,423.96064706317463
resnet101,0,17,1,0,resnet152,0,27,1,0,vgg19,0,22,1,0,bert,1,12,4,32,13448.0,13913.734693877552,1121.5444849195585
resnet101,13,35,1,0,resnet152,9,32,1,0,vgg19,0,17,1,0,bert,9,9,4,16,11788.5,12369.326530612245,1135.309233928389
resnet101,0,30,1,0,resnet152,0,52,1,0,vgg19,6,22,1,0,bert,0,12,4,16,26532.5,26202.0,824.6764486136118
resnet101,0,14,1,0,resnet152,0,52,1,0,vgg19,12,22,1,0,bert,7,12,4,16,25253.0,25583.030612244896,643.121873334168
resnet101,18,34,1,0,resnet152,0,52,1,0,vgg19,0,21,1,0,bert,0,12,4,64,24986.5,26673.479591836734,3239.3822736579928
resnet101,33,34,1,0,resnet152,0,52,1,0,vgg19,13,22,1,0,bert,0,12,4,64,24763.0,25097.65306122449,1282.5967927196411
resnet101,2,17,1,0,resnet152,29,52,1,0,vgg19,8,22,1,0,bert,0,12,4,8,12408.5,13037.418367346938,1592.1520343481545
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,12,4,16,25305.0,26003.326530612245,2125.8120550457324
resnet101,0,35,1,0,resnet152,51,51,1,0,vgg19,2,6,1,0,bert,7,11,4,16,16833.0,17939.214285714286,2070.329778768866
resnet101,19,34,1,0,resnet152,0,52,1,0,vgg19,3,22,1,0,bert,0,12,4,64,25150.0,26517.94845360825,2766.8070598835257
resnet101,6,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,3,12,4,8,25240.0,26303.163265306124,2495.0918460616263
resnet101,0,24,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,3,12,4,16,24948.0,25742.285714285714,2359.4526821243253
resnet101,20,22,1,0,resnet152,0,43,1,0,vgg19,6,22,1,0,bert,11,12,4,64,20650.0,21000.581632653062,1417.339105964163
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,12,4,8,25069.5,25123.255102040817,226.227369427421
resnet101,0,35,1,0,resnet152,0,45,1,0,vgg19,0,15,1,0,bert,0,5,4,8,22610.0,23156.632653061224,1836.1978762013723
resnet101,0,35,1,0,resnet152,18,32,1,0,vgg19,0,22,1,0,bert,0,6,4,32,17220.5,18951.23469387755,3038.7769183019172
resnet101,0,35,1,0,resnet152,24,52,1,0,vgg19,14,22,1,0,bert,5,12,4,32,23395.0,23074.897959183672,2292.37599085866
resnet101,10,27,1,0,resnet152,0,52,1,0,vgg19,19,22,1,0,bert,11,12,4,8,24635.5,24951.775510204083,1274.2100996993236
resnet101,20,20,1,0,resnet152,0,52,1,0,vgg19,0,8,1,0,bert,11,12,4,8,24636.0,25717.663265306124,2618.2997090099484
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,15,22,1,0,bert,10,12,4,16,24924.0,25040.20408163265,560.7363773479472
resnet101,0,5,1,0,resnet152,0,9,1,0,vgg19,0,22,1,0,bert,7,8,4,16,4548.0,4861.091836734694,663.2238377146534
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,9,18,1,0,bert,0,6,4,64,25348.5,26185.428571428572,2204.831434160268
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,12,4,32,25445.5,25879.30612244898,1503.8600022239593
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,11,11,4,16,25137.5,27096.724489795917,3254.5061783487913
resnet101,0,13,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,12,4,64,24955.0,26091.01020408163,2562.0893837061885
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,12,4,64,25047.0,25219.714285714286,676.1395671647344
resnet101,24,30,1,0,resnet152,0,15,1,0,vgg19,0,22,1,0,bert,0,11,4,16,11200.5,11497.551020408164,1134.7197363446091
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,18,1,0,bert,0,12,4,64,24959.5,25110.48979591837,595.8951463186127
resnet101,29,35,1,0,resnet152,32,52,1,0,vgg19,17,19,1,0,bert,0,7,4,8,10070.5,10756.612244897959,1157.7406183778382
resnet101,0,0,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,7,4,16,25058.0,25610.70408163265,1830.2653215111184
resnet101,0,35,1,0,resnet152,0,0,1,0,vgg19,0,22,1,0,bert,8,12,4,32,16960.5,17375.35714285714,1282.1636787008092
resnet101,34,35,1,0,resnet152,0,52,1,0,vgg19,0,13,1,0,bert,4,12,4,8,24862.5,25370.84693877551,1590.8986957835282
resnet101,8,35,1,0,resnet152,0,52,1,0,vgg19,21,22,1,0,bert,0,12,4,64,25202.5,25361.397959183672,576.0999016928652
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,19,22,1,0,bert,0,12,4,16,25347.0,25902.76530612245,1773.7947606986693
resnet101,0,26,1,0,resnet152,23,48,1,0,vgg19,0,22,1,0,bert,10,12,4,16,15009.0,15163.520408163266,408.271324088899
resnet101,0,22,1,0,resnet152,19,52,1,0,vgg19,0,22,1,0,bert,0,12,4,8,16530.5,17631.979591836734,1904.9402474939425
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,3,12,4,16,26738.5,27020.448979591838,2553.6042280508873
resnet101,11,35,1,0,resnet152,0,52,1,0,vgg19,0,3,1,0,bert,4,7,4,64,24749.0,24811.571428571428,305.86534985986555
resnet101,0,16,1,0,resnet152,40,51,1,0,vgg19,4,22,1,0,bert,4,4,4,64,9478.0,9163.34693877551,971.9014406027654
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,18,20,1,0,bert,9,12,4,64,25176.5,26160.071428571428,1684.0278686069594
resnet101,11,35,1,0,resnet152,0,21,1,0,vgg19,0,22,1,0,bert,4,5,4,8,13522.0,13581.908163265307,1588.9151676327344
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,8,1,0,bert,0,12,4,8,25230.5,27107.244897959183,2977.7427112345863
resnet101,6,35,1,0,resnet152,34,43,1,0,vgg19,8,8,1,0,bert,0,12,4,64,14455.5,15316.836734693878,1514.762254490834
resnet101,9,35,1,0,resnet152,40,46,1,0,vgg19,0,9,1,0,bert,7,8,4,16,12569.5,12586.122448979591,148.7016095397652
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,12,8,16,25123.5,26593.530612244896,2760.6468526382105
resnet101,0,35,1,0,resnet152,41,46,1,0,vgg19,13,15,1,0,bert,8,8,8,16,16840.0,18475.530612244896,2726.027498491583
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,16,19,1,0,bert,10,12,8,32,25338.5,26787.0,2554.0344515279817
